Hotel Name,rate,date,price
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Sunday, December 1, 2024",NaN
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Monday, December 2, 2024",NaN
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Tuesday, December 3, 2024",NaN
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Wednesday, December 4, 2024",NaN
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Thursday, December 5, 2024",NaN
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Friday, December 6, 2024",NaN
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Saturday, December 7, 2024",NaN
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Sunday, December 8, 2024",NaN
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Monday, December 9, 2024",NaN
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Tuesday, December 10, 2024",NaN
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Wednesday, December 11, 2024",NaN
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Thursday, December 12, 2024",NaN
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Friday, December 13, 2024",NaN
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Saturday, December 14, 2024",NaN
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Sunday, December 15, 2024",NaN
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Monday, December 16, 2024",NaN
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Tuesday, December 17, 2024",NaN
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Wednesday, December 18, 2024",NaN
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Thursday, December 19, 2024","9,723"
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Friday, December 20, 2024",12.9K
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Saturday, December 21, 2024",14.1K
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Sunday, December 22, 2024",11.6K
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Monday, December 23, 2024",11.6K
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Tuesday, December 24, 2024","9,956"
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Wednesday, December 25, 2024",13K
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Thursday, December 26, 2024",13K
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Friday, December 27, 2024",13.3K
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Saturday, December 28, 2024",13.8K
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Sunday, December 29, 2024",13.8K
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Monday, December 30, 2024",14.9K
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Tuesday, December 31, 2024",15.1K
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Wednesday, January 1, 2025",13.2K
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Thursday, January 2, 2025",10.4K
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Friday, January 3, 2025",10.9K
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Saturday, January 4, 2025",10.4K
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Sunday, January 5, 2025","8,452"
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Monday, January 6, 2025","7,638"
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Tuesday, January 7, 2025","7,638"
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Wednesday, January 8, 2025","7,638"
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Thursday, January 9, 2025","7,398"
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Friday, January 10, 2025","8,520"
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Saturday, January 11, 2025",10.7K
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Sunday, January 12, 2025","8,264"
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Monday, January 13, 2025","6,925"
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Tuesday, January 14, 2025",NaN
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Wednesday, January 15, 2025, departure date.","6,159"
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Thursday, January 16, 2025, return date.",NaN
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Friday, January 17, 2025","7,503"
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Saturday, January 18, 2025","9,096"
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Sunday, January 19, 2025","7,313"
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Monday, January 20, 2025","7,593"
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Tuesday, January 21, 2025","8,413"
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Wednesday, January 22, 2025","6,865"
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Thursday, January 23, 2025","7,637"
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Friday, January 24, 2025","8,520"
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Saturday, January 25, 2025",10.3K
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Sunday, January 26, 2025","7,116"
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Monday, January 27, 2025","7,293"
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Tuesday, January 28, 2025",10.1K
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Wednesday, January 29, 2025",10.1K
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Thursday, January 30, 2025",10.1K
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Friday, January 31, 2025","8,003"
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Saturday, February 1, 2025","9,560"
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Sunday, February 2, 2025","8,166"
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Monday, February 3, 2025","8,166"
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Tuesday, February 4, 2025","7,627"
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Wednesday, February 5, 2025","7,638"
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Thursday, February 6, 2025","7,671"
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Friday, February 7, 2025","8,166"
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Saturday, February 8, 2025",11K
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Sunday, February 9, 2025","6,820"
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Monday, February 10, 2025","7,297"
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Tuesday, February 11, 2025","6,865"
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Wednesday, February 12, 2025","7,293"
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Thursday, February 13, 2025","7,638"
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Friday, February 14, 2025","8,277"
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Saturday, February 15, 2025","9,797"
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Sunday, February 16, 2025","7,116"
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Monday, February 17, 2025","7,099"
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Tuesday, February 18, 2025","7,293"
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Wednesday, February 19, 2025","7,293"
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Thursday, February 20, 2025","7,293"
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Friday, February 21, 2025","7,994"
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Saturday, February 22, 2025",11K
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Sunday, February 23, 2025","9,759"
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Monday, February 24, 2025","7,116"
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Tuesday, February 25, 2025","7,965"
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Wednesday, February 26, 2025","7,704"
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Thursday, February 27, 2025","7,704"
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Friday, February 28, 2025","7,750"
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Saturday, March 1, 2025",10.2K
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Sunday, March 2, 2025","7,293"
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Monday, March 3, 2025","7,671"
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Tuesday, March 4, 2025","7,293"
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Wednesday, March 5, 2025","7,293"
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Thursday, March 6, 2025","9,797"
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Friday, March 7, 2025","8,162"
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Saturday, March 8, 2025",12K
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Sunday, March 9, 2025","6,817"
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Monday, March 10, 2025","9,793"
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Tuesday, March 11, 2025","7,155"
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Wednesday, March 12, 2025","7,293"
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Thursday, March 13, 2025","7,297"
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Friday, March 14, 2025","8,520"
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Saturday, March 15, 2025",10.7K
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Sunday, March 16, 2025","6,817"
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Monday, March 17, 2025","7,293"
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Tuesday, March 18, 2025","7,671"
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Wednesday, March 19, 2025","7,174"
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Thursday, March 20, 2025","7,671"
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Friday, March 21, 2025",10.9K
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Saturday, March 22, 2025",10.7K
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Sunday, March 23, 2025",10.8K
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Monday, March 24, 2025",10.9K
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Tuesday, March 25, 2025",10.2K
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Wednesday, March 26, 2025",10.8K
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Thursday, March 27, 2025",10.9K
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Friday, March 28, 2025",12.4K
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Saturday, March 29, 2025",12.4K
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Sunday, March 30, 2025",10.9K
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Monday, March 31, 2025",10.2K
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Tuesday, April 1, 2025",12.7K
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Wednesday, April 2, 2025",13.3K
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Thursday, April 3, 2025",13.3K
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Friday, April 4, 2025",13.3K
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Saturday, April 5, 2025",13.4K
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Sunday, April 6, 2025",12.6K
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Monday, April 7, 2025",12.6K
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Tuesday, April 8, 2025",12K
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Wednesday, April 9, 2025",12.5K
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Thursday, April 10, 2025",12K
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Friday, April 11, 2025",12.6K
Mitsui Garden Hotel Roppongi Tokyo Premier,4.7,"Saturday, April 12, 2025",13.3K
