Hotel Name,rate,date,price
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Sunday, December 1, 2024",NaN
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Monday, December 2, 2024",NaN
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Tuesday, December 3, 2024",NaN
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Wednesday, December 4, 2024",NaN
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Thursday, December 5, 2024",NaN
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Friday, December 6, 2024",NaN
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Saturday, December 7, 2024",NaN
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Sunday, December 8, 2024",NaN
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Monday, December 9, 2024",NaN
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Tuesday, December 10, 2024",NaN
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Wednesday, December 11, 2024",NaN
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Thursday, December 12, 2024",NaN
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Friday, December 13, 2024",NaN
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Saturday, December 14, 2024",NaN
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Sunday, December 15, 2024",NaN
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Monday, December 16, 2024",NaN
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Tuesday, December 17, 2024",NaN
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Wednesday, December 18, 2024",NaN
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Thursday, December 19, 2024",16.2K
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Friday, December 20, 2024",16.2K
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Saturday, December 21, 2024",26.8K
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Sunday, December 22, 2024",16.2K
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Monday, December 23, 2024",17.4K
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Tuesday, December 24, 2024",19.5K
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Wednesday, December 25, 2024",16.5K
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Thursday, December 26, 2024",16.8K
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Friday, December 27, 2024",19.1K
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Saturday, December 28, 2024",26K
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Sunday, December 29, 2024",22.5K
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Monday, December 30, 2024",22.5K
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Tuesday, December 31, 2024",NaN
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Wednesday, January 1, 2025",25.3K
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Thursday, January 2, 2025",17.4K
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Friday, January 3, 2025",14.1K
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Saturday, January 4, 2025",11.6K
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Sunday, January 5, 2025",11.4K
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Monday, January 6, 2025",11.1K
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Tuesday, January 7, 2025",11.4K
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Wednesday, January 8, 2025",11.4K
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Thursday, January 9, 2025",11.4K
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Friday, January 10, 2025",11.6K
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Saturday, January 11, 2025",13.4K
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Sunday, January 12, 2025",13.6K
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Monday, January 13, 2025",16.9K
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Tuesday, January 14, 2025",12.5K
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Wednesday, January 15, 2025, departure date.",11.3K
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Thursday, January 16, 2025, return date.",NaN
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Friday, January 17, 2025",11.8K
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Saturday, January 18, 2025",14.2K
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Sunday, January 19, 2025",11.4K
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Monday, January 20, 2025",12.1K
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Tuesday, January 21, 2025",13.1K
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Wednesday, January 22, 2025",12.1K
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Thursday, January 23, 2025",12.1K
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Friday, January 24, 2025",15K
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Saturday, January 25, 2025",15.2K
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Sunday, January 26, 2025",11.7K
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Monday, January 27, 2025",12.5K
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Tuesday, January 28, 2025",12.5K
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Wednesday, January 29, 2025",12.5K
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Thursday, January 30, 2025",12.5K
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Friday, January 31, 2025",12.5K
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Saturday, February 1, 2025",14.8K
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Sunday, February 2, 2025",12.3K
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Monday, February 3, 2025",13K
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Tuesday, February 4, 2025",12.2K
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Wednesday, February 5, 2025",14K
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Thursday, February 6, 2025",12.8K
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Friday, February 7, 2025",13.8K
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Saturday, February 8, 2025",15.2K
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Sunday, February 9, 2025",11.5K
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Monday, February 10, 2025",12.2K
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Tuesday, February 11, 2025",12.2K
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Wednesday, February 12, 2025",12.2K
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Thursday, February 13, 2025",12.2K
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Friday, February 14, 2025",13.8K
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Saturday, February 15, 2025",15.5K
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Sunday, February 16, 2025",12.2K
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Monday, February 17, 2025",12.1K
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Tuesday, February 18, 2025",12.1K
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Wednesday, February 19, 2025",12.1K
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Thursday, February 20, 2025",12.1K
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Friday, February 21, 2025",12.9K
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Saturday, February 22, 2025",15.5K
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Sunday, February 23, 2025",13.5K
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Monday, February 24, 2025",12.1K
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Tuesday, February 25, 2025",12.1K
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Wednesday, February 26, 2025",12.1K
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Thursday, February 27, 2025",18.2K
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Friday, February 28, 2025",21.3K
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Saturday, March 1, 2025",21.3K
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Sunday, March 2, 2025",21.3K
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Monday, March 3, 2025",13.8K
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Tuesday, March 4, 2025",14.7K
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Wednesday, March 5, 2025",14K
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Thursday, March 6, 2025",14.7K
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Friday, March 7, 2025",14.7K
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Saturday, March 8, 2025",16.4K
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Sunday, March 9, 2025",14.7K
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Monday, March 10, 2025",14.7K
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Tuesday, March 11, 2025",14.7K
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Wednesday, March 12, 2025",15.5K
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Thursday, March 13, 2025",15.5K
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Friday, March 14, 2025",15.5K
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Saturday, March 15, 2025",17.4K
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Sunday, March 16, 2025",14.7K
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Monday, March 17, 2025",15.5K
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Tuesday, March 18, 2025",15.5K
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Wednesday, March 19, 2025",15.6K
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Thursday, March 20, 2025",15.6K
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Friday, March 21, 2025",17.5K
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Saturday, March 22, 2025",21.5K
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Sunday, March 23, 2025",21.5K
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Monday, March 24, 2025",21.5K
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Tuesday, March 25, 2025",21.5K
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Wednesday, March 26, 2025",21.5K
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Thursday, March 27, 2025",21.5K
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Friday, March 28, 2025",21.5K
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Saturday, March 29, 2025",21.5K
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Sunday, March 30, 2025",21.5K
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Monday, March 31, 2025",21.5K
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Tuesday, April 1, 2025",21.5K
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Wednesday, April 2, 2025",21.5K
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Thursday, April 3, 2025",21.5K
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Friday, April 4, 2025",21.5K
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Saturday, April 5, 2025",21.5K
"InterContinental the Strings Tokyo, an IHG Hotel",4.5,"Sunday, April 6, 2025",21.5K
