,Date,Prices
0,"Sunday, December 1, 2024",NaN
1,"Monday, December 2, 2024",NaN
2,"Tuesday, December 3, 2024",NaN
3,"Wednesday, December 4, 2024",NaN
4,"Thursday, December 5, 2024",NaN
5,"Friday, December 6, 2024",NaN
6,"Saturday, December 7, 2024",NaN
7,"Sunday, December 8, 2024",NaN
8,"Monday, December 9, 2024",NaN
9,"Tuesday, December 10, 2024",NaN
10,"Wednesday, December 11, 2024",NaN
11,"Thursday, December 12, 2024",NaN
12,"Friday, December 13, 2024",NaN
13,"Saturday, December 14, 2024",NaN
14,"Sunday, December 15, 2024",NaN
15,"Monday, December 16, 2024",NaN
16,"Tuesday, December 17, 2024",NaN
17,"Wednesday, December 18, 2024",NaN
18,"Thursday, December 19, 2024",NaN
19,"Friday, December 20, 2024",NaN
20,"Saturday, December 21, 2024",NaN
21,"Sunday, December 22, 2024",NaN
22,"Monday, December 23, 2024",NaN
23,"Tuesday, December 24, 2024",$12.2K
24,"Wednesday, December 25, 2024","$8,670"
25,"Thursday, December 26, 2024","$7,250"
26,"Friday, December 27, 2024","$7,050"
27,"Saturday, December 28, 2024","$8,800"
28,"Sunday, December 29, 2024","$6,460"
29,"Monday, December 30, 2024","$6,120"
30,"Tuesday, December 31, 2024","$6,550"
31,"Wednesday, January 1, 2025","$7,670"
32,"Thursday, January 2, 2025","$8,980"
33,"Friday, January 3, 2025",$10.9K
34,"Saturday, January 4, 2025",$17K
35,"Sunday, January 5, 2025",$15K
36,"Monday, January 6, 2025",$14.9K
37,"Tuesday, January 7, 2025",$11.5K
38,"Wednesday, January 8, 2025",$10.3K
39,"Thursday, January 9, 2025",$10.3K
40,"Friday, January 10, 2025","$9,940"
41,"Saturday, January 11, 2025",$11.2K
42,"Sunday, January 12, 2025",$10.9K
43,"Monday, January 13, 2025",$13.1K
44,"Tuesday, January 14, 2025",$11.2K
45,"Wednesday, January 15, 2025",$12K
46,"Thursday, January 16, 2025",$13.9K
47,"Friday, January 17, 2025",$16.7K
48,"Saturday, January 18, 2025",$16.2K
49,"Sunday, January 19, 2025",$15.3K
50,"Monday, January 20, 2025",$16.5K
51,"Tuesday, January 21, 2025",$16.2K
52,"Wednesday, January 22, 2025",$18.8K
53,"Thursday, January 23, 2025",$25.3K
54,"Friday, January 24, 2025",$31.9K
55,"Saturday, January 25, 2025",$30.6K
56,"Sunday, January 26, 2025",$23.4K
57,"Monday, January 27, 2025",$17.8K
58,"Tuesday, January 28, 2025",$16.4K
59,"Wednesday, January 29, 2025",$17.9K
60,"Thursday, January 30, 2025",$18.1K
61,"Friday, January 31, 2025",$18.9K
62,"Saturday, February 1, 2025",$19.4K
63,"Sunday, February 2, 2025",$16.1K
64,"Monday, February 3, 2025",$12.7K
65,"Tuesday, February 4, 2025",$10.7K
66,"Wednesday, February 5, 2025",$10K
67,"Thursday, February 6, 2025",$10.5K
68,"Friday, February 7, 2025",$11.3K
69,"Saturday, February 8, 2025",$10.4K
70,"Sunday, February 9, 2025","$9,420"
71,"Monday, February 10, 2025","$9,380"
72,"Tuesday, February 11, 2025","$8,380"
73,"Wednesday, February 12, 2025","$8,990"
74,"Thursday, February 13, 2025",$10K
75,"Friday, February 14, 2025",$10K
76,"Saturday, February 15, 2025","$9,900"
77,"Sunday, February 16, 2025","$8,140"
78,"Monday, February 17, 2025","$8,350"
79,"Tuesday, February 18, 2025","$7,030"
