,Hotel Name,Stars,url,Accessible,Bar,Fitness center,Free Wi-Fi,Kid-friendly,Kitchen in rooms,Kitchen in some rooms,Onsen,Open air bath,Outdoor pool,Parking,Parking ($),Public bath,Restaurant,Sauna,Transfer
0,The Knot Tokyo Shinjuku,3,https://www.google.com/travel/search?q=tokyo%20hotels&ts=CAESCgoCCAMKAggDEAAaUAoyEi4yJTB4NjA1ZDFiODdmMDJlNTdlNzoweDJlMDE2MThiMjI1NzFiODk6BVRva3lvGgASGhIUCgcI6Q8QARgPEgcI6Q8QARgQGAEyAhAAKg4KCBIBAzoDVFdEGgAoCA&sa=X&qs=CAEgASgAMidDaGtJcGJlTTA4TEJrY2d4R2cwdlp5OHhNV1kxWW5JM05HSjRFQUU4DQ&ap=KigKEgl_39EwSNVBQBFa0eY-vXVhQBISCaIkV0Ww20FAEVrR5jIxd2FAMAE&ved=2ahUKEwj_nKCFybGKAxXESMIFHUPlFawQyvcEegQIAxA5,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False
1,APA Hotel Asakusa Tawaramachi-Ekimae,3,https://www.google.com/travel/search?q=tokyo%20hotels&ts=CAESCgoCCAMKAggDEAAaUAoyEi4yJTB4NjA1ZDFiODdmMDJlNTdlNzoweDJlMDE2MThiMjI1NzFiODk6BVRva3lvGgASGhIUCgcI6Q8QARgPEgcI6Q8QARgQGAEyAhAAKg4KCBIBAzoDVFdEGgAoCA&sa=X&qs=CAEgASgAMidDaGtJc1B5WjJzU01xOXhKR2cwdlp5OHhNV00zYzNJME1ucGlFQUU4DQ&ap=KigKEgl_39EwSNVBQBFa0eY-vXVhQBISCaIkV0Ww20FAEVrR5jIxd2FAMAE&ved=2ahUKEwj_nKCFybGKAxXESMIFHUPlFawQyvcEegQIAxBU,True,False,False,True,True,False,False,False,True,False,False,True,True,True,False,False
2,APA Hotel & Resort Ryogoku Eki Tower,3,https://www.google.com/travel/search?q=tokyo%20hotels&ts=CAESCgoCCAMKAggDEAAaUAoyEi4yJTB4NjA1ZDFiODdmMDJlNTdlNzoweDJlMDE2MThiMjI1NzFiODk6BVRva3lvGgASGhIUCgcI6Q8QARgPEgcI6Q8QARgQGAEyAhAAKg4KCBIBAzoDVFdEGgAoCA&sa=X&qs=CAEgASgAMihDaG9JbG9yODV0NngwOExFQVJvTkwyY3ZNVEZtTUd0eFpEUjNZaEFCOA0&ap=KigKEgl_39EwSNVBQBFa0eY-vXVhQBISCaIkV0Ww20FAEVrR5jIxd2FAMAE&ved=2ahUKEwj_nKCFybGKAxXESMIFHUPlFawQyvcEegQIAxBx,False,False,True,True,False,False,False,True,True,True,False,True,True,True,False,False
3,ONE@Tokyo,3,https://www.google.com/travel/search?q=tokyo%20hotels&ts=CAESCgoCCAMKAggDEAAaUAoyEi4yJTB4NjA1ZDFiODdmMDJlNTdlNzoweDJlMDE2MThiMjI1NzFiODk6BVRva3lvGgASGhIUCgcI6Q8QARgPEgcI6Q8QARgQGAEyAhAAKg4KCBIBAzoDVFdEGgAoCA&sa=X&qs=CAEgASgAMihDaG9JODRLRXk1SGppYWVHQVJvTkwyY3ZNVEZrZUdwNE1uRXlYeEFCOA0&ap=KigKEgl_39EwSNVBQBFa0eY-vXVhQBISCaIkV0Ww20FAEVrR5jIxd2FAMAE&ved=2ahUKEwj_nKCFybGKAxXESMIFHUPlFawQyvcEegUIAxCTAQ,True,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False
4,Hotel Keihan Tsukiji Ginza Grande,3,https://www.google.com/travel/search?q=tokyo%20hotels&ts=CAESCgoCCAMKAggDEAAaUAoyEi4yJTB4NjA1ZDFiODdmMDJlNTdlNzoweDJlMDE2MThiMjI1NzFiODk6BVRva3lvGgASGhIUCgcI6Q8QARgPEgcI6Q8QARgQGAEyAhAAKg4KCBIBAzoDVFdEGgAoCA&sa=X&qs=CAEgASgAMihDaG9JNWNxYzBkZnF0b1BEQVJvTkwyY3ZNVEZuTVRoNGMzTmZjUkFCOA0&ap=KigKEgl_39EwSNVBQBFa0eY-vXVhQBISCaIkV0Ww20FAEVrR5jIxd2FAMAE&ved=2ahUKEwj_nKCFybGKAxXESMIFHUPlFawQyvcEegUIAxCsAQ,False,True,False,True,True,False,False,False,False,False,False,True,False,True,False,False
5,TSUKI Tokyo,3,https://www.google.com/travel/search?q=tokyo%20hotels&ts=CAESCgoCCAMKAggDEAAaUAoyEi4yJTB4NjA1ZDFiODdmMDJlNTdlNzoweDJlMDE2MThiMjI1NzFiODk6BVRva3lvGgASGhIUCgcI6Q8QARgPEgcI6Q8QARgQGAEyAhAAKg4KCBIBAzoDVFdEGgAoCA&sa=X&qs=CAEgASgAMiZDaGdJMk92TnlMWDNraU1hRFM5bkx6RXhaMTk2TWpaeVkyUVFBUTgN&ap=KigKEgl_39EwSNVBQBFa0eY-vXVhQBISCaIkV0Ww20FAEVrR5jIxd2FAMAE&ved=2ahUKEwj_nKCFybGKAxXESMIFHUPlFawQyvcEegUIAxDGAQ,False,True,False,True,True,False,False,False,False,False,False,False,False,True,False,False
6,Hotel Oriental Express Tokyo Kamata,3,https://www.google.com/travel/search?q=tokyo%20hotels&ts=CAESCgoCCAMKAggDEAAaUAoyEi4yJTB4NjA1ZDFiODdmMDJlNTdlNzoweDJlMDE2MThiMjI1NzFiODk6BVRva3lvGgASGhIUCgcI6Q8QARgPEgcI6Q8QARgQGAEyAhAAKg4KCBIBAzoDVFdEGgAoCA&sa=X&qs=CAEgASgAMihDaG9JM2RiQXlZcXhwWkQtQVJvTkwyY3ZNVEZuZUY5eU1qTnlaaEFCOA0&ap=KigKEgl_39EwSNVBQBFa0eY-vXVhQBISCaIkV0Ww20FAEVrR5jIxd2FAMAE&ved=2ahUKEwj_nKCFybGKAxXESMIFHUPlFawQyvcEegUIAxDjAQ,True,False,False,True,True,False,False,False,False,False,False,True,False,True,False,False
7,Hotel Wing International Select Asakusa Komagata,3,https://www.google.com/travel/search?q=tokyo%20hotels&ts=CAESCgoCCAMKAggDEAAaUAoyEi4yJTB4NjA1ZDFiODdmMDJlNTdlNzoweDJlMDE2MThiMjI1NzFiODk6BVRva3lvGgASGhIUCgcI6Q8QARgPEgcI6Q8QARgQGAEyAhAAKg4KCBIBAzoDVFdEGgAoCA&sa=X&qs=CAEgASgAMidDaGtJN2U3UmdfdWJncEJYR2cwdlp5OHhNV014ZG0xZlpIcG9FQUU4DQ&ap=KigKEgl_39EwSNVBQBFa0eY-vXVhQBISCaIkV0Ww20FAEVrR5jIxd2FAMAE&ved=2ahUKEwj_nKCFybGKAxXESMIFHUPlFawQyvcEegUIAxD-AQ,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False
8,HOTEL GRAPHY NEZU,3,https://www.google.com/travel/search?q=tokyo%20hotels&ts=CAESCgoCCAMKAggDEAAaUAoyEi4yJTB4NjA1ZDFiODdmMDJlNTdlNzoweDJlMDE2MThiMjI1NzFiODk6BVRva3lvGgASGhIUCgcI6Q8QARgPEgcI6Q8QARgQGAEyAhAAKg4KCBIBAzoDVFdEGgAoCA&sa=X&qs=CAEgASgAMiZDaGdJNE15RWhKX3Q3c0pnR2d3dlp5OHhNbkZuYW5SNWFHNFFBUTgN&ap=KigKEgl_39EwSNVBQBFa0eY-vXVhQBISCaIkV0Ww20FAEVrR5jIxd2FAMAE&ved=2ahUKEwj_nKCFybGKAxXESMIFHUPlFawQyvcEegUIAxCcAg,False,True,False,True,True,False,True,False,False,False,True,False,False,True,False,False
9,KEIO Plaza Hotel Hachiōji,3,https://www.google.com/travel/search?q=tokyo%20hotels&ts=CAESCgoCCAMKAggDEAAaUAoyEi4yJTB4NjA1ZDFiODdmMDJlNTdlNzoweDJlMDE2MThiMjI1NzFiODk6BVRva3lvGgASGhIUCgcI6Q8QARgPEgcI6Q8QARgQGAEyAhAAKg4KCBIBAzoDVFdEGgAoCA&sa=X&qs=CAEgASgAMiRDaGNJbmNYMS1KU2RrLU52R2dzdlp5OHhkR2QzY3psb2RoQUI4DQ&ap=KigKEgl_39EwSNVBQBFa0eY-vXVhQBISCaIkV0Ww20FAEVrR5jIxd2FAMAE&ved=2ahUKEwj_nKCFybGKAxXESMIFHUPlFawQyvcEegUIAxC3Ag,True,False,False,True,True,False,False,False,False,False,False,True,False,True,False,False
