,Hotel Name,Stars,url,Accessible,Bar,Fitness center,Free Wi-Fi,Free parking,Indoor pool,Kid-friendly,Kitchen in some rooms,Onsen,Open air bath,Outdoor pool,Parking,Parking ($),Pet-friendly,Pool,Private bath,Public bath,Restaurant,Sauna,Transfer
0,Agora Tokyo Ginza,4,https://www.google.com/travel/search?q=tokyo%20hotels&ts=CAESCgoCCAMKAggDEAAaUAoyEi4yJTB4NjA1ZDFiODdmMDJlNTdlNzoweDJlMDE2MThiMjI1NzFiODk6BVRva3lvGgASGhIUCgcI6Q8QARgPEgcI6Q8QARgQGAEyAhAAKg4KCBIBBDoDVFdEGgAoCA&sa=X&qs=CAEgASgAMidDaGtJal9hZy12M0NtdFVQR2cwdlp5OHhNV2c0TVdoc2NUTjBFQUU4DUgA&ap=KigKEgl_39EwSNVBQBFa0eY-vXVhQBISCaIkV0Ww20FAEVrR5jIxd2FAMAE&ved=2ahUKEwj-t6L-yLGKAxVrQ8IFHeZcO9QQyvcEegQIAxA5,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False
1,Tokyo Bay Shiomi Prince Hotel,4,https://www.google.com/travel/search?q=tokyo%20hotels&ts=CAESCgoCCAMKAggDEAAaUAoyEi4yJTB4NjA1ZDFiODdmMDJlNTdlNzoweDJlMDE2MThiMjI1NzFiODk6BVRva3lvGgASGhIUCgcI6Q8QARgPEgcI6Q8QARgQGAEyAhAAKg4KCBIBBDoDVFdEGgAoCA&sa=X&qs=CAEgASgAMihDaG9JM2MzbDlZX09wNFBqQVJvTkwyY3ZNVEZvTTJ0MGVIWmtheEFCOA1IAA&ap=KigKEgl_39EwSNVBQBFa0eY-vXVhQBISCaIkV0Ww20FAEVrR5jIxd2FAMAE&ved=2ahUKEwj-t6L-yLGKAxVrQ8IFHeZcO9QQyvcEegQIAxBW,False,True,True,True,False,False,False,False,False,False,False,False,True,False,False,True,True,True,True,False
2,Mitsui Garden Hotel Ginza Gochome,4,https://www.google.com/travel/search?q=tokyo%20hotels&ts=CAESCgoCCAMKAggDEAAaUAoyEi4yJTB4NjA1ZDFiODdmMDJlNTdlNzoweDJlMDE2MThiMjI1NzFiODk6BVRva3lvGgASGhIUCgcI6Q8QARgPEgcI6Q8QARgQGAEyAhAAKg4KCBIBBDoDVFdEGgAoCA&sa=X&qs=CAEgASgAMidDaGtJZ2Rhcmw0S1dwT1JFR2cwdlp5OHhNV2N5TXpNeGVqTnJFQUU4DUgA&ap=KigKEgl_39EwSNVBQBFa0eY-vXVhQBISCaIkV0Ww20FAEVrR5jIxd2FAMAE&ved=2ahUKEwj-t6L-yLGKAxVrQ8IFHeZcO9QQyvcEegQIAxBx,True,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False
3,Mitsui Garden Hotel Gotanda,4,https://www.google.com/travel/search?q=tokyo%20hotels&ts=CAESCgoCCAMKAggDEAAaUAoyEi4yJTB4NjA1ZDFiODdmMDJlNTdlNzoweDJlMDE2MThiMjI1NzFiODk6BVRva3lvGgASGhIUCgcI6Q8QARgPEgcI6Q8QARgQGAEyAhAAKg4KCBIBBDoDVFdEGgAoCA&sa=X&qs=CAEgASgAMihDaG9JemJ1NC01NloxczJEQVJvTkwyY3ZNVEZtYXpOa1pIcDJjUkFCOA1IAA&ap=KigKEgl_39EwSNVBQBFa0eY-vXVhQBISCaIkV0Ww20FAEVrR5jIxd2FAMAE&ved=2ahUKEwj-t6L-yLGKAxVrQ8IFHeZcO9QQyvcEegUIAxCVAQ,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,True,False,False
4,Shinjuku Granbell Hotel,4,https://www.google.com/travel/search?q=tokyo%20hotels&ts=CAESCgoCCAMKAggDEAAaUAoyEi4yJTB4NjA1ZDFiODdmMDJlNTdlNzoweDJlMDE2MThiMjI1NzFiODk6BVRva3lvGgASGhIUCgcI6Q8QARgPEgcI6Q8QARgQGAEyAhAAKg4KCBIBBDoDVFdEGgAoCA&sa=X&qs=CAEgASgAMidDaGtJX1ptbzdOZVNxWURmQVJvTUwyY3ZNWEIwWDE4emNHdHRFQUU4DUgA&ap=KigKEgl_39EwSNVBQBFa0eY-vXVhQBISCaIkV0Ww20FAEVrR5jIxd2FAMAE&ved=2ahUKEwj-t6L-yLGKAxVrQ8IFHeZcO9QQyvcEegUIAxCwAQ,True,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
5,Shinagawa Prince Hotel,4,https://www.google.com/travel/search?q=tokyo%20hotels&ts=CAESCgoCCAMKAggDEAAaUAoyEi4yJTB4NjA1ZDFiODdmMDJlNTdlNzoweDJlMDE2MThiMjI1NzFiODk6BVRva3lvGgASGhIUCgcI6Q8QARgPEgcI6Q8QARgQGAEyAhAAKg4KCBIBBDoDVFdEGgAoCA&sa=X&qs=CAEgASgAMiRDaGNJc0pQa21ybW12cFYyR2dzdlp5OHhNakl5TVhRNU1SQUI4DUgA&ap=KigKEgl_39EwSNVBQBFa0eY-vXVhQBISCaIkV0Ww20FAEVrR5jIxd2FAMAE&ved=2ahUKEwj-t6L-yLGKAxVrQ8IFHeZcO9QQyvcEegUIAxDKAQ,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False
6,Mitsui Garden Hotel Roppongi Tokyo Premier,4,https://www.google.com/travel/search?q=tokyo%20hotels&ts=CAESCgoCCAMKAggDEAAaUAoyEi4yJTB4NjA1ZDFiODdmMDJlNTdlNzoweDJlMDE2MThiMjI1NzFiODk6BVRva3lvGgASGhIUCgcI6Q8QARgPEgcI6Q8QARgQGAEyAhAAKg4KCBIBBDoDVFdEGgAoCA&sa=X&qs=CAEgASgAMihDaG9JeVBIYzFOSEpuYTNpQVJvTkwyY3ZNVEZvTTJOaWVXMHpNeEFCOA1IAA&ap=KigKEgl_39EwSNVBQBFa0eY-vXVhQBISCaIkV0Ww20FAEVrR5jIxd2FAMAE&ved=2ahUKEwj-t6L-yLGKAxVrQ8IFHeZcO9QQyvcEegUIAxDnAQ,True,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
7,Asakusa View Hotel,4,https://www.google.com/travel/search?q=tokyo%20hotels&ts=CAESCgoCCAMKAggDEAAaUAoyEi4yJTB4NjA1ZDFiODdmMDJlNTdlNzoweDJlMDE2MThiMjI1NzFiODk6BVRva3lvGgASGhIUCgcI6Q8QARgPEgcI6Q8QARgQGAEyAhAAKg4KCBIBBDoDVFdEGgAoCA&sa=X&qs=CAEgASgAMiZDaGdJb0t1TF84TGo4WXpNQVJvTEwyY3ZNVEl4TkcxbmNEY1FBUTgNSAA&ap=KigKEgl_39EwSNVBQBFa0eY-vXVhQBISCaIkV0Ww20FAEVrR5jIxd2FAMAE&ved=2ahUKEwj-t6L-yLGKAxVrQ8IFHeZcO9QQyvcEegUIAxCEAg,False,True,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,True
8,Keio Plaza Hotel Tokyo,4,https://www.google.com/travel/search?q=tokyo%20hotels&ts=CAESCgoCCAMKAggDEAAaUAoyEi4yJTB4NjA1ZDFiODdmMDJlNTdlNzoweDJlMDE2MThiMjI1NzFiODk6BVRva3lvGgASGhIUCgcI6Q8QARgPEgcI6Q8QARgQGAEyAhAAKg4KCBIBBDoDVFdEGgAoCA&sa=X&qs=CAEgASgAMiNDaFlJamJlTDQ2WDY1ZXRSR2dvdmJTOHdOWE41WkRKM0VBRTgNSAA&ap=KigKEgl_39EwSNVBQBFa0eY-vXVhQBISCaIkV0Ww20FAEVrR5jIxd2FAMAE&ved=2ahUKEwj-t6L-yLGKAxVrQ8IFHeZcO9QQyvcEegUIAxCdAg,True,True,True,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,True
9,Hotel New Otani Tokyo Garden Tower,4,https://www.google.com/travel/search?q=tokyo%20hotels&ts=CAESCgoCCAMKAggDEAAaUAoyEi4yJTB4NjA1ZDFiODdmMDJlNTdlNzoweDJlMDE2MThiMjI1NzFiODk6BVRva3lvGgASGhIUCgcI6Q8QARgPEgcI6Q8QARgQGAEyAhAAKg4KCBIBBDoDVFdEGgAoCA&sa=X&qs=CAEgASgAMidDaGtJM3RlYjJlelZsNzR2R2cwdlp5OHhNV0kzY1hkZk0ycHhFQUU4DUgA&ap=KigKEgl_39EwSNVBQBFa0eY-vXVhQBISCaIkV0Ww20FAEVrR5jIxd2FAMAE&ved=2ahUKEwj-t6L-yLGKAxVrQ8IFHeZcO9QQyvcEegUIAxC2Ag,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True
