,Hotel Name,Stars,url,Accessible,Bar,Fitness center,Free Wi-Fi,Free parking,Indoor pool,Kid-friendly,Kitchen in some rooms,Onsen,Parking,Parking ($),Pet-friendly,Pool,Private bath,Public bath,Restaurant,Sauna,Transfer,Wi-Fi ($)
0,Hilton Tokyo Odaiba,5,https://www.google.com/travel/search?q=tokyo%20hotels&ts=CAESCgoCCAMKAggDEAAaUAoyEi4yJTB4NjA1ZDFiODdmMDJlNTdlNzoweDJlMDE2MThiMjI1NzFiODk6BVRva3lvGgASGhIUCgcI6Q8QARgPEgcI6Q8QARgQGAEyAhAAKg4KCBIBBToDVFdEGgAoCA&sa=X&qs=CAEgASgAMiZDaGdJLXJhRWtvZTk1dkNjQVJvTEwyY3ZNVEl4TlRad2JUTVFBUTgNSAA&ap=KigKEgl_39EwSNVBQBFa0eY-vXVhQBISCaIkV0Ww20FAEVrR5jIxd2FAMAE&ved=2ahUKEwiB05GfwbGKAxX3UcIFHTrGDLwQyvcEegQIAxA-,False,True,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,True,True
1,Shangri-La Tokyo,5,https://www.google.com/travel/search?q=tokyo%20hotels&ts=CAESCgoCCAMKAggDEAAaUAoyEi4yJTB4NjA1ZDFiODdmMDJlNTdlNzoweDJlMDE2MThiMjI1NzFiODk6BVRva3lvGgASGhIUCgcI6Q8QARgPEgcI6Q8QARgQGAEyAhAAKg4KCBIBBToDVFdEGgAoCA&sa=X&qs=CAEgASgAMiRDaGNJOHVQbzd1R0l3cGVQQVJvS0wyMHZNSEkwZGpWeWJoQUI4DUgA&ap=KigKEgl_39EwSNVBQBFa0eY-vXVhQBISCaIkV0Ww20FAEVrR5jIxd2FAMAE&ved=2ahUKEwiB05GfwbGKAxX3UcIFHTrGDLwQyvcEegQIAxBe,False,True,True,True,False,False,False,False,False,False,True,True,True,False,False,False,True,True,False
2,Aman Tokyo,5,https://www.google.com/travel/search?q=tokyo%20hotels&ts=CAESCgoCCAMKAggDEAAaUAoyEi4yJTB4NjA1ZDFiODdmMDJlNTdlNzoweDJlMDE2MThiMjI1NzFiODk6BVRva3lvGgASGhIUCgcI6Q8QARgPEgcI6Q8QARgQGAEyAhAAKg4KCBIBBToDVFdEGgAoCA&sa=X&qs=CAEgASgAMihDaG9JbjVQcXhOMk1nZENhQVJvTkwyY3ZNVEZpTmw5NmR6QmtkQkFCOA1IAA&ap=KigKEgl_39EwSNVBQBFa0eY-vXVhQBISCaIkV0Ww20FAEVrR5jIxd2FAMAE&ved=2ahUKEwiB05GfwbGKAxX3UcIFHTrGDLwQyvcEegQIAxB7,False,True,True,True,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False
3,"Mandarin Oriental, Tokyo",5,https://www.google.com/travel/search?q=tokyo%20hotels&ts=CAESCgoCCAMKAggDEAAaUAoyEi4yJTB4NjA1ZDFiODdmMDJlNTdlNzoweDJlMDE2MThiMjI1NzFiODk6BVRva3lvGgASGhIUCgcI6Q8QARgPEgcI6Q8QARgQGAEyAhAAKg4KCBIBBToDVFdEGgAoCA&sa=X&qs=CAEgASgAMiNDaFlJNGNqLXMtak0yOUZDR2dvdmJTOHdaM2d3ZVRneEVBRTgNSAA&ap=KigKEgl_39EwSNVBQBFa0eY-vXVhQBISCaIkV0Ww20FAEVrR5jIxd2FAMAE&ved=2ahUKEwiB05GfwbGKAxX3UcIFHTrGDLwQyvcEegUIAxCZAQ,True,False,False,True,False,False,True,False,False,False,True,True,False,False,False,True,False,True,False
4,Hilton Tokyo,5,https://www.google.com/travel/search?q=tokyo%20hotels&ts=CAESCgoCCAMKAggDEAAaUAoyEi4yJTB4NjA1ZDFiODdmMDJlNTdlNzoweDJlMDE2MThiMjI1NzFiODk6BVRva3lvGgASGhIUCgcI6Q8QARgPEgcI6Q8QARgQGAEyAhAAKg4KCBIBBToDVFdEGgAoCA&sa=X&qs=CAEgASgAMiZDaGdJam83UHlmSHJtS1NGQVJvTEwyY3ZNVEl3ZG5sZmVXc1FBUTgNSAA&ap=KigKEgl_39EwSNVBQBFa0eY-vXVhQBISCaIkV0Ww20FAEVrR5jIxd2FAMAE&ved=2ahUKEwiB05GfwbGKAxX3UcIFHTrGDLwQyvcEegUIAxCwAQ,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False,True,True,True,True
5,InterContinental Tokyo Bay,5,https://www.google.com/travel/search?q=tokyo%20hotels&ts=CAESCgoCCAMKAggDEAAaUAoyEi4yJTB4NjA1ZDFiODdmMDJlNTdlNzoweDJlMDE2MThiMjI1NzFiODk6BVRva3lvGgASGhIUCgcI6Q8QARgPEgcI6Q8QARgQGAEyAhAAKg4KCBIBBToDVFdEGgAoCA&sa=X&qs=CAEgASgAMiRDaGNJOTdhSDJzcmEwcHhYR2dzdlp5OHhNakp3YXpsdU1CQUI4DUgA&ap=KigKEgl_39EwSNVBQBFa0eY-vXVhQBISCaIkV0Ww20FAEVrR5jIxd2FAMAE&ved=2ahUKEwiB05GfwbGKAxX3UcIFHTrGDLwQyvcEegUIAxDLAQ,True,True,True,True,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False
6,The Prince Park Tower Tokyo,5,https://www.google.com/travel/search?q=tokyo%20hotels&ts=CAESCgoCCAMKAggDEAAaUAoyEi4yJTB4NjA1ZDFiODdmMDJlNTdlNzoweDJlMDE2MThiMjI1NzFiODk6BVRva3lvGgASGhIUCgcI6Q8QARgPEgcI6Q8QARgQGAEyAhAAKg4KCBIBBToDVFdEGgAoCA&sa=X&qs=CAEgASgAMihDaG9JOXFmZ25LS2Fub1ByQVJvTkwyY3ZNVEZuYzI0d05IYzVNeEFCOA1IAA&ap=KigKEgl_39EwSNVBQBFa0eY-vXVhQBISCaIkV0Ww20FAEVrR5jIxd2FAMAE&ved=2ahUKEwiB05GfwbGKAxX3UcIFHTrGDLwQyvcEegUIAxDiAQ,False,True,True,True,False,True,False,True,False,False,True,False,False,False,False,True,False,True,False
7,Conrad Tokyo,5,https://www.google.com/travel/search?q=tokyo%20hotels&ts=CAESCgoCCAMKAggDEAAaUAoyEi4yJTB4NjA1ZDFiODdmMDJlNTdlNzoweDJlMDE2MThiMjI1NzFiODk6BVRva3lvGgASGhIUCgcI6Q8QARgPEgcI6Q8QARgQGAEyAhAAKg4KCBIBBToDVFdEGgAoCA&sa=X&qs=CAEgASgAMiZDaGdJNHNHWjlwdnF0T2NGR2d3dlp5OHhNbXh1YURrNE5WOFFBUTgNSAA&ap=KigKEgl_39EwSNVBQBFa0eY-vXVhQBISCaIkV0Ww20FAEVrR5jIxd2FAMAE&ved=2ahUKEwiB05GfwbGKAxX3UcIFHTrGDLwQyvcEegUIAxD8AQ,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False,True,True,True,True
8,"ANA InterContinental Tokyo, an IHG Hotel",5,https://www.google.com/travel/search?q=tokyo%20hotels&ts=CAESCgoCCAMKAggDEAAaUAoyEi4yJTB4NjA1ZDFiODdmMDJlNTdlNzoweDJlMDE2MThiMjI1NzFiODk6BVRva3lvGgASGhIUCgcI6Q8QARgPEgcI6Q8QARgQGAEyAhAAKg4KCBIBBToDVFdEGgAoCA&sa=X&qs=CAEgASgAMiRDaGNJcjR2R29OdXE5TXBwR2dzdlp5OHhNakZyYXpreGFCQUI4DUgA&ap=KigKEgl_39EwSNVBQBFa0eY-vXVhQBISCaIkV0Ww20FAEVrR5jIxd2FAMAE&ved=2ahUKEwiB05GfwbGKAxX3UcIFHTrGDLwQyvcEegUIAxCWAg,True,True,True,True,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False
9,Hyatt Regency Tokyo,5,https://www.google.com/travel/search?q=tokyo%20hotels&ts=CAESCgoCCAMKAggDEAAaUAoyEi4yJTB4NjA1ZDFiODdmMDJlNTdlNzoweDJlMDE2MThiMjI1NzFiODk6BVRva3lvGgASGhIUCgcI6Q8QARgPEgcI6Q8QARgQGAEyAhAAKg4KCBIBBToDVFdEGgAoCA&sa=X&qs=CAEgASgAMiZDaGdJOHB6SmtvdWZ3NEdrQVJvTEwyY3ZNVEl5YURWeVgyb1FBUTgNSAA&ap=KigKEgl_39EwSNVBQBFa0eY-vXVhQBISCaIkV0Ww20FAEVrR5jIxd2FAMAE&ved=2ahUKEwiB05GfwbGKAxX3UcIFHTrGDLwQyvcEegUIAxCtAg,True,True,True,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False
10,The Tokyo Station Hotel,5,https://www.google.com/travel/search?q=tokyo%20hotels&ts=CAESCgoCCAMKAggDEAAaUAoyEi4yJTB4NjA1ZDFiODdmMDJlNTdlNzoweDJlMDE2MThiMjI1NzFiODk6BVRva3lvGgASGhIUCgcI6Q8QARgPEgcI6Q8QARgQGAEyAhAAKg4KCBIBBToDVFdEGgAoCA&sa=X&qs=CAEgASgAMiZDaGdJN3JTSDM3WG1sb0RTQVJvTEwyY3ZNVEl4TVRGNWMxOFFBUTgNSAA&ap=KigKEgl_39EwSNVBQBFa0eY-vXVhQBISCaIkV0Ww20FAEVrR5jIxd2FAMAE&ved=2ahUKEwiB05GfwbGKAxX3UcIFHTrGDLwQyvcEegUIAxDEAg,True,True,True,True,False,False,True,False,False,False,True,False,False,False,False,True,True,False,False
